date,wc_year,home_team,away_team,home_score,away_score,round,home_elo,away_elo,home_fifa_rank,home_fifa_points,away_fifa_rank,away_fifa_points,shootout_winner
1994-07-02,1994.0,Spain,Switzerland,3,0,Round of 16,1910,1863,5,56.0,12,54.0,
1994-07-02,1994.0,Germany,Belgium,3,2,Round of 16,2014,1837,1,60.0,27,44.0,
1994-07-03,1994.0,Saudi Arabia,Sweden,1,3,Round of 16,1709,1933,34,40.0,10,55.0,
1994-07-03,1994.0,Romania,Argentina,3,2,Round of 16,1861,1889,7,55.0,8,55.0,
1994-07-04,1994.0,Netherlands,Ireland,2,0,Round of 16,1963,1866,2,59.0,,,
1994-07-04,1994.0,Brazil,USA,1,0,Round of 16,2006,1647,3,59.0,,,
1994-07-05,1994.0,Mexico,Bulgaria,1,1,Round of 16,1871,1830,16,51.0,29,44.0,Bulgaria
1994-07-05,1994.0,Nigeria,Italy,1,2,Round of 16,1801,1962,11,54.0,4,57.0,
1994-07-09,1994.0,Netherlands,Brazil,2,3,Quarter-finals,1996,2017,2,59.0,3,59.0,
1994-07-09,1994.0,Italy,Spain,2,1,Quarter-finals,1979,1955,4,57.0,5,56.0,
1994-07-10,1994.0,Romania,Sweden,2,2,Quarter-finals,1893,1952,7,55.0,10,55.0,Sweden
1994-07-10,1994.0,Bulgaria,Germany,2,1,Quarter-finals,1834,2030,29,44.0,1,60.0,
1994-07-13,1994.0,Sweden,Brazil,0,1,Semi-finals,1947,2045,10,55.0,3,59.0,
1994-07-13,1994.0,Bulgaria,Italy,1,2,Semi-finals,1879,2007,29,44.0,4,57.0,
1994-07-16,1994.0,Sweden,Bulgaria,4,0,Third-place match,1925,1860,10,55.0,29,44.0,
1994-07-17,1994.0,Brazil,Italy,0,0,Final,2067,2026,3,59.0,4,57.0,Brazil
1998-06-27,1998.0,Brazil,Chile,4,1,Round of 16,2064,1779,1,72.0,9,59.0,
1998-06-27,1998.0,Italy,Norway,1,0,Round of 16,1980,1927,14,57.0,7,60.0,
1998-06-28,1998.0,Nigeria,Denmark,1,4,Round of 16,1741,1863,74,37.0,27,53.0,
1998-06-28,1998.0,France,Paraguay,1,0,Round of 16,2028,1813,18,56.0,29,52.0,
1998-06-29,1998.0,Germany,Mexico,2,1,Round of 16,2072,1884,2,65.0,4,61.0,
1998-06-29,1998.0,Netherlands,FR Yugoslavia,2,1,Round of 16,1965,1994,25,54.0,,,
1998-06-30,1998.0,Argentina,England,2,2,Round of 16,1958,1972,6,60.0,5,60.0,Argentina
1998-06-30,1998.0,Romania,Croatia,0,1,Round of 16,1916,1882,22,55.0,19,56.0,
1998-07-03,1998.0,Brazil,Denmark,3,2,Quarter-finals,2081,1898,1,72.0,27,53.0,
1998-07-03,1998.0,Italy,France,0,0,Quarter-finals,2005,2036,14,57.0,18,56.0,France
1998-07-04,1998.0,Germany,Croatia,0,3,Quarter-finals,2087,1915,2,65.0,19,56.0,
1998-07-04,1998.0,Netherlands,Argentina,2,1,Quarter-finals,1997,1959,25,54.0,6,60.0,
1998-07-07,1998.0,Brazil,Netherlands,1,1,Semi-finals,2097,2024,1,72.0,25,54.0,Brazil
1998-07-08,1998.0,France,Croatia,2,1,Semi-finals,2025,1992,18,56.0,19,56.0,
1998-07-11,1998.0,Netherlands,Croatia,1,2,Third-place match,2030,1973,25,54.0,19,56.0,
1998-07-12,1998.0,Brazil,France,0,3,Final,2091,2044,1,72.0,18,56.0,
2002-06-15,2002.0,Denmark,England,0,3,Round of 16,1939,1941,20,657.0,12,694.0,
2002-06-15,2002.0,Germany,Paraguay,1,0,Round of 16,1939,1750,11,695.0,18,671.0,
2002-06-16,2002.0,Spain,Ireland,1,1,Round of 16,2007,1893,8,713.0,,,
2002-06-16,2002.0,Sweden,Senegal,1,2,Round of 16,1899,1767,19,665.0,42,599.0,
2002-06-17,2002.0,Brazil,Belgium,2,0,Round of 16,1946,1855,2,784.0,23,653.0,
2002-06-17,2002.0,Mexico,USA,0,2,Round of 16,1892,1787,7,716.0,,,
2002-06-18,2002.0,South Korea,Italy,2,1,Round of 16,1804,1971,40,603.0,6,717.0,
2002-06-18,2002.0,Japan,Türkiye,0,1,Round of 16,1870,1777,32,634.0,,,
2002-06-21,2002.0,England,Brazil,1,2,Quarter-finals,1993,1979,12,694.0,2,784.0,
2002-06-21,2002.0,Germany,USA,1,0,Quarter-finals,1954,1845,11,695.0,,,
2002-06-22,2002.0,Spain,South Korea,0,0,Quarter-finals,1997,1840,8,713.0,40,603.0,South Korea
2002-06-22,2002.0,Senegal,Türkiye,0,1,Quarter-finals,1808,1822,42,599.0,,,
2002-06-25,2002.0,Germany,South Korea,1,0,Semi-finals,1975,1845,11,695.0,40,603.0,
2002-06-26,2002.0,Brazil,Türkiye,1,0,Semi-finals,2010,1851,2,784.0,,,
2002-06-29,2002.0,South Korea,Türkiye,2,3,Third-place match,1818,1834,40,603.0,,,
2002-06-30,2002.0,Germany,Brazil,0,2,Final,2002,2027,11,695.0,2,784.0,
2006-06-24,2006.0,Argentina,Mexico,2,1,Round of 16,1980,1840,9,746.0,4,758.0,
2006-06-24,2006.0,Germany,Sweden,2,0,Round of 16,1946,1873,19,696.0,16,709.0,
2006-06-25,2006.0,Portugal,Netherlands,1,0,Round of 16,1973,2016,7,750.0,3,768.0,
2006-06-25,2006.0,England,Ecuador,1,0,Round of 16,1985,1782,10,741.0,39,631.0,
2006-06-26,2006.0,Italy,Australia,1,0,Round of 16,1984,1821,13,728.0,42,612.0,
2006-06-26,2006.0,Switzerland,Ukraine,0,0,Round of 16,1862,1809,35,648.0,45,609.0,Ukraine
2006-06-27,2006.0,Brazil,Ghana,3,0,Round of 16,2085,1726,1,827.0,48,600.0,
2006-06-27,2006.0,Spain,France,1,3,Round of 16,2011,1946,5,756.0,8,749.0,
2006-06-30,2006.0,Italy,Ukraine,3,0,Quarter-finals,2001,1814,13,728.0,45,609.0,
2006-06-30,2006.0,Germany,Argentina,1,1,Quarter-finals,1970,1999,19,696.0,9,746.0,Germany
2006-07-01,2006.0,Brazil,France,0,1,Quarter-finals,2097,1999,1,827.0,8,749.0,
2006-07-01,2006.0,England,Portugal,0,0,Quarter-finals,1999,2007,10,741.0,7,750.0,Portugal
2006-07-04,2006.0,Germany,Italy,0,2,Semi-finals,1964,2028,19,696.0,13,728.0,
2006-07-05,2006.0,Portugal,France,0,1,Semi-finals,2006,2037,7,750.0,8,749.0,
2006-07-08,2006.0,Germany,Portugal,3,1,Third-place match,1914,1979,19,696.0,7,750.0,
2006-07-09,2006.0,Italy,France,1,1,Final,2078,2064,13,728.0,8,749.0,Italy
2010-06-26,2010.0,USA,Ghana,1,2,Round of 16,1805,1716,,,32,800.0,
2010-06-26,2010.0,Uruguay,South Korea,2,1,Round of 16,1913,1763,16,899.0,47,632.0,
2010-06-27,2010.0,Germany,England,4,1,Round of 16,1955,1970,6,1082.0,8,1068.0,
2010-06-27,2010.0,Argentina,Mexico,3,1,Round of 16,1987,1890,7,1076.0,17,895.0,
2010-06-28,2010.0,Netherlands,Slovakia,2,1,Round of 16,2071,1678,4,1231.0,34,777.0,
2010-06-28,2010.0,Brazil,Chile,3,0,Round of 16,2103,1907,1,1611.0,18,888.0,
2010-06-29,2010.0,Spain,Portugal,1,0,Round of 16,2086,1901,2,1565.0,3,1249.0,
2010-06-29,2010.0,Paraguay,Japan,0,0,Round of 16,1790,1757,31,820.0,45,682.0,Paraguay
2010-07-02,2010.0,Netherlands,Brazil,2,1,Quarter-finals,2077,2129,4,1231.0,1,1611.0,
2010-07-02,2010.0,Uruguay,Ghana,1,1,Quarter-finals,1931,1754,16,899.0,32,800.0,Uruguay
2010-07-03,2010.0,Paraguay,Spain,0,1,Quarter-finals,1787,2101,31,820.0,2,1565.0,
2010-07-03,2010.0,Argentina,Germany,0,4,Quarter-finals,2020,2010,7,1076.0,6,1082.0,
2010-07-06,2010.0,Uruguay,Netherlands,2,3,Semi-finals,1917,2111,16,899.0,4,1231.0,
2010-07-07,2010.0,Germany,Spain,0,1,Semi-finals,2068,2109,6,1082.0,2,1565.0,
2010-07-10,2010.0,Uruguay,Germany,2,3,Third-place match,1902,2042,16,899.0,6,1082.0,
2010-07-11,2010.0,Netherlands,Spain,0,1,Final,2126,2135,4,1231.0,2,1565.0,
2014-06-28,2014.0,Colombia,Uruguay,2,0,Round of 16,2000,1913,8,1137.0,7,1147.0,
2014-06-28,2014.0,Brazil,Chile,1,1,Round of 16,2122,1962,3,1242.0,14,1026.0,Brazil
2014-06-29,2014.0,Costa Rica,Greece,1,1,Round of 16,1826,1812,28,762.0,12,1064.0,Costa Rica
2014-06-29,2014.0,Netherlands,Mexico,2,1,Round of 16,2102,1896,15,981.0,20,882.0,
2014-06-30,2014.0,France,Nigeria,2,0,Round of 16,1954,1750,17,913.0,44,640.0,
2014-06-30,2014.0,Germany,Algeria,2,1,Round of 16,2098,1678,2,1300.0,22,858.0,
2014-07-01,2014.0,Belgium,USA,2,1,Round of 16,1903,1863,11,1074.0,,,
2014-07-01,2014.0,Argentina,Switzerland,1,0,Round of 16,2048,1860,5,1175.0,6,1149.0,
2014-07-04,2014.0,France,Germany,0,1,Quarter-finals,1975,2103,17,913.0,2,1300.0,
2014-07-04,2014.0,Brazil,Colombia,2,1,Quarter-finals,2103,2034,3,1242.0,8,1137.0,
2014-07-05,2014.0,Netherlands,Costa Rica,0,0,Quarter-finals,2116,1825,15,981.0,28,762.0,Netherlands
2014-07-05,2014.0,Argentina,Belgium,1,0,Quarter-finals,2063,1930,5,1175.0,11,1074.0,
2014-07-08,2014.0,Brazil,Germany,1,7,Semi-finals,2119,2122,3,1242.0,2,1300.0,
2014-07-09,2014.0,Netherlands,Argentina,0,0,Semi-finals,2095,2082,15,981.0,5,1175.0,Argentina
2014-07-12,2014.0,Brazil,Netherlands,0,3,Third-place match,2038,2094,3,1242.0,15,981.0,
2014-07-13,2014.0,Germany,Argentina,1,0,Final,2203,2083,2,1300.0,5,1175.0,
2018-06-30,2018.0,France,Argentina,4,3,Round of 16,2006,1917,7,1198.0,5,1241.0,
2018-06-30,2018.0,Uruguay,Portugal,2,1,Round of 16,1951,1970,14,1018.0,4,1274.0,
2018-07-01,2018.0,Croatia,Denmark,1,1,Round of 16,1956,1888,12,2036.0,15,2014.0,Croatia
2018-07-01,2018.0,Spain,Russia,1,1,Round of 16,2027,1689,6,2104.0,49,1758.0,Russia
2018-07-02,2018.0,Belgium,Japan,3,2,Round of 16,1999,1707,5,2124.0,41,1816.0,
2018-07-02,2018.0,Brazil,Mexico,2,0,Round of 16,2141,1842,4,2160.0,10,2041.0,
2018-07-03,2018.0,Colombia,England,1,1,Round of 16,1937,1943,17,1998.0,7,2099.0,England
2018-07-03,2018.0,Sweden,Switzerland,1,0,Round of 16,1870,1912,21,1955.0,8,2087.0,
2018-07-06,2018.0,Brazil,Belgium,1,2,Quarter-finals,2155,2008,4,2160.0,5,2124.0,
2018-07-06,2018.0,Uruguay,France,0,2,Quarter-finals,1983,2028,14,2017.0,2,2164.0,
2018-07-07,2018.0,Sweden,England,0,2,Quarter-finals,1904,1942,21,1955.0,7,2099.0,
2018-07-07,2018.0,Russia,Croatia,2,2,Quarter-finals,1707,1950,49,1758.0,12,2036.0,Croatia
2018-07-10,2018.0,France,Belgium,1,0,Semi-finals,2067,2050,2,2164.0,5,2124.0,
2018-07-11,2018.0,Croatia,England,2,1,Semi-finals,1938,1982,12,2036.0,7,2099.0,
2018-07-14,2018.0,Belgium,England,2,0,Third-place match,2021,1948,5,2124.0,7,2099.0,
2018-07-15,2018.0,France,Croatia,4,2,Final,2096,1972,2,2164.0,12,2036.0,
2022-12-03,2022.0,Argentina,Australia,2,1,Round of 16,2118,1781,3,1773.88,38,1488.72,
2022-12-03,2022.0,Netherlands,USA,3,1,Round of 16,2047,1838,8,1694.51,,,
2022-12-04,2022.0,England,Senegal,3,0,Round of 16,1968,1771,5,1728.47,18,1584.38,
2022-12-04,2022.0,France,Poland,3,1,Round of 16,1993,1826,4,1759.78,26,1548.59,
2022-12-05,2022.0,Japan,Croatia,1,1,Round of 16,1842,1944,24,1559.54,12,1645.64,Croatia
2022-12-05,2022.0,Brazil,South Korea,4,1,Round of 16,2137,1801,1,1841.3,28,1530.3,
2022-12-06,2022.0,Morocco,Spain,0,0,Round of 16,1869,2007,22,1563.5,7,1715.22,Morocco
2022-12-06,2022.0,Portugal,Switzerland,6,1,Round of 16,1992,1927,9,1676.56,15,1635.92,
2022-12-09,2022.0,Croatia,Brazil,1,1,Quarter-finals,1935,2150,12,1645.64,1,1841.3,Croatia
2022-12-09,2022.0,Netherlands,Argentina,2,2,Quarter-finals,2068,2126,8,1694.51,3,1773.88,Argentina
2022-12-10,2022.0,England,France,1,2,Quarter-finals,1994,2018,5,1728.47,4,1759.78,
2022-12-10,2022.0,Morocco,Portugal,1,0,Quarter-finals,1880,2041,22,1563.5,9,1676.56,
2022-12-13,2022.0,Argentina,Croatia,3,0,Semi-finals,2121,1952,3,1773.88,12,1645.64,
2022-12-14,2022.0,France,Morocco,2,0,Semi-finals,2046,1923,4,1759.78,22,1563.5,
2022-12-17,2022.0,Croatia,Morocco,2,1,Third-place match,1923,1893,12,1645.64,22,1563.5,
2022-12-18,2022.0,Argentina,France,3,3,Final,2150,2076,3,1773.88,4,1759.78,Argentina
